Humidity3pm,Humidity9am,Sunshine,Cloud3pm,Pressure3pm,Temp3pm,Rainfall,WindGustSpeed,Location
98.0,100.0,,8.0,1005.4,11.5,8.8,41.0,Ballarat
73.0,73.0,,,1023.8,17.0,0.0,48.0,Walpole
25.0,45.0,11.1,0.0,1025.9,22.5,0.0,52.0,PerthAirport
40.0,48.0,,7.0,1009.8,24.3,0.0,44.0,Cobar
25.0,89.0,4.1,6.0,1001.0,27.4,0.0,72.0,Sale
56.0,100.0,,,1020.5,18.8,0.0,17.0,Richmond
33.0,78.0,,,1011.7,32.0,0.0,31.0,Launceston
55.0,100.0,,,1017.1,8.6,2.8,61.0,Ballarat
10.0,36.0,11.0,1.0,1019.2,30.9,0.0,30.0,Mildura
34.0,56.0,9.5,4.0,1009.7,30.7,0.0,61.0,Moree
88.0,70.0,5.0,8.0,1001.6,29.3,10.8,48.0,Cairns
40.0,68.0,,1.0,1019.5,17.8,0.0,44.0,Moree
53.0,63.0,,,1016.2,25.6,0.0,28.0,Witchcliffe
9.0,22.0,,7.0,1020.5,33.9,0.0,28.0,Cobar
35.0,51.0,10.0,3.0,1016.6,19.2,0.0,31.0,Cobar
62.0,64.0,,,1015.8,25.3,0.0,39.0,GoldCoast
48.0,68.0,,7.0,1017.8,15.0,0.0,28.0,Bendigo
73.0,56.0,,8.0,1007.7,21.7,0.0,56.0,Ballarat
,93.0,,,,,9.0,,Newcastle
53.0,62.0,10.8,3.0,1016.7,23.1,0.2,41.0,Sydney
68.0,99.0,,,1003.3,15.4,36.4,59.0,Walpole
47.0,68.0,7.7,3.0,1013.7,29.6,0.0,59.0,SydneyAirport
78.0,88.0,4.6,7.0,1014.2,25.6,1.0,44.0,NorfolkIsland
22.0,44.0,10.2,2.0,1015.5,25.0,0.0,24.0,Moree
51.0,60.0,6.7,6.0,1016.3,16.4,0.4,30.0,Melbourne
27.0,66.0,9.7,7.0,1021.1,15.0,0.8,41.0,MelbourneAirport
61.0,53.0,,,1022.1,23.8,0.0,48.0,Wollongong
51.0,77.0,,7.0,1012.6,29.8,0.2,28.0,Moree
78.0,57.0,0.0,8.0,1013.8,16.4,0.0,28.0,Moree
8.0,21.0,13.0,3.0,1009.0,41.8,0.0,46.0,MountGambier
23.0,71.0,10.2,,1019.3,20.5,0.0,30.0,Mildura
41.0,64.0,10.1,0.0,1025.4,17.4,0.0,17.0,Cobar
31.0,78.0,8.3,1.0,1006.0,23.4,1.2,61.0,Hobart
35.0,100.0,9.8,,1015.3,21.9,0.0,31.0,Dartmoor
63.0,81.0,7.2,4.0,1010.7,29.7,2.0,37.0,Cairns
58.0,56.0,9.0,2.0,1017.1,23.3,0.0,39.0,Townsville
52.0,100.0,,,1020.2,21.9,0.2,24.0,Richmond
80.0,86.0,,,1028.2,18.5,0.2,70.0,GoldCoast
91.0,92.0,3.0,7.0,1007.6,16.5,12.6,,Sydney
24.0,65.0,,,1016.1,33.9,0.0,37.0,Albury
19.0,60.0,,,1002.9,30.2,0.0,67.0,Nhil
52.0,68.0,11.0,3.0,1023.5,17.5,1.4,37.0,Portland
81.0,75.0,,8.0,1023.2,14.2,8.0,56.0,Wollongong
87.0,95.0,,,1006.1,18.1,4.6,37.0,Richmond
25.0,22.0,,,1003.9,34.3,0.0,57.0,Uluru
36.0,63.0,,5.0,1014.8,29.5,0.0,37.0,Moree
59.0,80.0,,,1010.3,12.6,4.8,59.0,Dartmoor
2.0,6.0,12.3,1.0,1013.6,35.0,0.0,31.0,AliceSprings
36.0,49.0,6.3,4.0,1021.7,22.6,0.0,31.0,Moree
52.0,52.0,8.9,1.0,1014.3,19.3,1.4,31.0,NorfolkIsland
35.0,81.0,7.5,7.0,1011.4,31.2,0.0,41.0,Mildura
13.0,35.0,12.1,3.0,1007.0,38.5,0.0,57.0,WaggaWagga
71.0,82.0,2.4,5.0,1012.8,17.5,0.0,,Albany
39.0,76.0,11.3,3.0,1008.8,33.2,3.2,37.0,Darwin
12.0,30.0,,,,33.9,0.0,43.0,SalmonGums
40.0,72.0,10.4,3.0,1019.5,23.0,0.0,46.0,MountGambier
38.0,65.0,12.7,1.0,1016.2,29.6,0.0,39.0,Cobar
50.0,56.0,11.0,1.0,1015.0,26.4,0.0,37.0,Cairns
46.0,58.0,12.4,3.0,1013.0,28.4,2.2,48.0,SydneyAirport
16.0,36.0,,,1012.8,31.8,0.0,43.0,Uluru
49.0,51.0,12.9,1.0,1012.5,25.5,0.0,48.0,PerthAirport
16.0,33.0,10.0,,1008.0,30.7,0.0,30.0,Nuriootpa
37.0,78.0,,,1030.1,20.0,0.0,17.0,Tuggeranong
80.0,99.0,,,1022.4,19.0,32.6,44.0,Richmond
76.0,100.0,4.1,,1024.3,12.3,0.6,28.0,Dartmoor
20.0,68.0,,,1006.8,25.3,0.0,44.0,Nhil
53.0,52.0,,,1018.7,21.6,0.0,33.0,GoldCoast
61.0,60.0,2.4,7.0,1014.4,17.7,0.0,44.0,NorfolkIsland
70.0,91.0,,,1021.8,18.8,0.2,30.0,Walpole
38.0,87.0,,,,20.0,0.0,20.0,Penrith
32.0,78.0,,,1007.4,29.2,0.0,33.0,MountGambier
35.0,91.0,5.7,6.0,1008.4,31.2,0.0,,Watsonia
53.0,97.0,8.5,1.0,1025.7,11.9,0.0,22.0,Mildura
12.0,33.0,10.4,6.0,1013.0,30.3,0.0,44.0,Darwin
50.0,61.0,4.8,7.0,1008.0,19.9,0.0,52.0,MelbourneAirport
86.0,60.0,5.1,7.0,1006.4,28.3,8.8,33.0,Cairns
24.0,39.0,,0.0,1017.2,25.5,0.0,44.0,Katherine
28.0,56.0,12.1,2.0,999.0,15.0,0.6,76.0,Hobart
,85.0,9.3,,1019.0,,0.0,,Albany
49.0,73.0,8.9,4.0,1023.1,18.2,0.8,39.0,Watsonia
58.0,100.0,,,1019.5,14.6,2.0,28.0,BadgerysCreek
32.0,56.0,10.2,0.0,1024.3,23.0,0.0,28.0,Perth
90.0,100.0,1.2,,1008.0,18.0,2.4,48.0,Dartmoor
14.0,39.0,13.1,0.0,1014.7,28.8,0.0,48.0,PerthAirport
